,date,confirmed,new cases,delta
1,2020-01-17,62,17,+38%
2,2020-01-18,121,59,+95%
3,2020-01-19,198,77,+64%
4,2020-01-20,291,93,+47%
5,2020-01-21,440,149,+51%
6,2020-01-22,571,131,+30%
7,2020-01-23,830,259,+45%
8,2020-01-24,1287,457,+55%
9,2020-01-25,1975,688,+53%
10,2020-01-26,2744,769,+39%
11,2020-01-27,4515,1771,+64%
12,2020-01-28,5974,1459,+32%
13,2020-01-29,7711,1737,+29%
14,2020-01-30,9692,1981,+26%
15,2020-01-31,11791,2099,+22%
16,2020-02-01,14380,2589,+22%
17,2020-02-02,17205,2825,+20%
18,2020-02-03,20438,3233,+19%
19,2020-02-04,24324,3886,+19%
20,2020-02-05,28018,3694,+15%
21,2020-02-06,31161,3143,+11%
22,2020-02-07,34048,2887,+09%
