,date,confirmed,deaths,recovered
0,01/22,555.0,0.0,0.0
1,01/23,653.0,0.0,30.0
2,01/24,941.0,26.0,36.0
3,01/25,2019.0,56.0,49.0
4,01/26,2794.0,80.0,54.0
5,01/27,4473.0,107.0,63.0
6,01/28,6057.0,132.0,110.0
7,01/29,7783.0,170.0,133.0
8,01/30,9776.0,213.0,187.0
9,01/31,9926.0,213.0,222.0
10,02/01,14549.0,305.0,340.0
11,02/02,17295.0,362.0,487.0
12,02/03,20588.0,426.0,644.0
13,02/04,24503.0,492.0,899.0
14,02/05,24630.0,494.0,1029.0
15,02/06,30877.0,636.0,1499.0
16,02/07,31532.0,638.0,1763.0
17,02/08,37549.0,813.0,2701.0
